City,2022-06-30,2023-02-28,Percent Gain
Los Angeles,649398.6390806763,647804.5976340529,-0.2454642419454367
Houston,179543.12901029666,184961.04703692705,3.017613682292275
Chicago,154914.86757505487,158102.65563492695,2.0577676692830282
San Antonio,175074.78479669266,176372.6678136302,0.7413306367588524
Philadelphia,124465.16357232293,123489.11098744908,-0.7841974066154611
Phoenix,325801.1197659904,312669.011626506,-4.0307130156325695
Las Vegas,300127.6149613731,289756.49495872617,-3.4555700594167904
San Diego,640818.1740538235,623649.8988631056,-2.6791180222169975
Dallas,189284.37121579703,194361.9459223321,2.6825113314539184
San Jose,911015.5474765828,885840.8035033786,-2.7633714971095236
Jacksonville,184938.9707869268,193340.57576929303,4.542906747353936
Charlotte,281878.10708854324,280631.6595317596,-0.44219381549631676
Indianapolis,136019.4493616506,139428.5304936276,2.50631887423165
Fort Worth,212579.4787865412,215323.2736407984,1.2907148281289915
Orlando,235058.89264252584,244112.4316433115,3.8516045485478045
Tucson,230743.2390818348,235234.416597496,1.9463961473074276
Columbus,149931.2433595717,154533.7721672389,3.0697596475133704
Miami,319017.4416286192,345435.61370512744,8.281105867328309
Louisville,136511.548608328,142765.23882256777,4.581070450077829
El Paso,140776.27302066892,151621.09304902516,7.7035851252888365
Denver,395527.1076550677,388986.3516038706,-1.6536808538799797
Nashville,308140.29062884743,308745.57952919573,0.19643289720829848
Washington,398147.0892007611,384707.8196339666,-3.3754534269665126
Boston,508419.3939343155,498332.677861888,-1.983936134767239
Detroit,33898.32641930509,36236.82067399697,6.898553709601729
Pittsburgh,140839.63093241118,140371.26670605046,-0.332551443979201
Albuquerque,235507.82369835977,241761.26246191256,2.6552997965631153
Memphis,71454.26071898057,73559.2558223527,2.945933639493914
Fresno,255640.2103096709,258407.00499130692,1.0823002681324967
Baltimore,86084.255139036,89728.21565447237,4.233016257794131
Omaha,178222.18853773817,185367.89764057292,4.00943853369955
Atlanta,226041.62431506685,232288.51285124663,2.7636009761957014
Milwaukee,114486.45954174508,115316.15112405224,0.7247071711608211
Oklahoma City,107154.31467325562,115038.54790512494,7.357830859084502
Raleigh,311682.15421429795,307693.6122841759,-1.2796824830014875
Mesa,342584.8392660749,329519.8820480553,-3.813641387636668
Colorado Springs,365034.22469835466,354071.2934457294,-3.0032612042567908
Buffalo,141426.7005262688,142230.84245747223,0.5685927255681511
Kansas City,117539.19295416505,120187.22197410406,2.2528902516555593
Cincinnati,145789.2348603165,148808.33354277493,2.070865304527514
Long Beach,563400.3643482636,563973.0916185147,0.1016554667857994
Virginia Beach,262464.62666750705,269406.7567993485,2.644977428000539
Bakersfield,281378.9342080107,280964.12513787486,-0.1474200871871778
Tampa,248917.30596906508,252882.7324977873,1.5930698403167742
Tulsa,95960.1416298056,103067.47770372876,7.406550212630769
Minneapolis,231158.57931417844,226545.67854271297,-1.9955568100268772
Aurora,375925.7337030946,367869.4439496594,-2.143053542537743
Spring,247911.07412347788,248301.28593237663,0.15739991054388724
Honolulu,398776.713621016,403770.5566970204,1.2522905439133591
Knoxville,198388.3401055323,212509.7508784835,7.1180648849823225
Arlington,255493.39922113888,256171.1961389013,0.2652894046690113
Baton Rouge,99627.47682816442,103735.2773160466,4.123160215095312
New Orleans,166219.74284618182,161637.70702532507,-2.75661346985534
Wichita,97454.27790826764,105692.92737814807,8.453861284196629
Cleveland,51108.99398235711,54175.31274659682,5.999567835943331
Riverside,490421.3216667836,491462.7869797596,0.21236134461617429
Anaheim,688579.4295463717,677313.6690170077,-1.636087290145416
Vancouver,412541.4536746087,401904.9268471631,-2.5782928558338636
Stockton,340245.3207763772,331316.9619164325,-2.624094532607202
Marietta,315895.6473697783,317996.1685445984,0.6649414742841531
Columbia,127125.65116888729,135164.70213616424,6.323704848989942
Greensboro,143312.34242166157,150115.80307557964,4.747295689230002
Fort Wayne,126548.40680255032,130827.7620294536,3.381595497745171
Lexington,180162.56068863487,188819.11233344628,4.804856020986548
Naples,358833.8989484522,367956.5622051424,2.5423080939185994
Corpus Christi,125710.0180475568,126242.10943132672,0.42326887867332186
Saint Louis,65036.91733008503,66962.89126063637,2.961354888295764
